Sample Input,Translation,Ground Truth
Obama receives Netanyahu,Obama erhält Netanjahu,Obama empfängt Netanyahu
The relationship between Obama and Netanyahu is not exactly friendly.,Die Beziehung zwischen Obama und Netanjahu ist nicht gerade freundlich.,Das Verhältnis zwischen Obama und Netanyahu ist nicht gerade freundschaftlich.
The two wanted to talk about the implementation of the international agreement and about Teheran's destabilising activities in the Middle East.,Die beiden wollten über die Umsetzung des internationalen Abkommens und über Teherans destabilisierende Aktivitäten im Nahen Osten sprechen.,Die beiden wollten über die Umsetzung der internationalen Vereinbarung sowie über Teherans destabilisierende Maßnahmen im Nahen Osten sprechen.
The meeting was also planned to cover the conflict with the Palestinians and the disputed two state solution.,Das Treffen sollte auch den Konflikt mit den Palästinensern und die umstrittene zweistaatliche Lösung abdecken.,Bei der Begegnung soll es aber auch um den Konflikt mit den Palästinensern und die diskutierte Zwei-Staaten-Lösung gehen.
Relations between Obama and Netanyahu have been strained for years.,Die Beziehungen zwischen Obama und Netanjahu sind seit Jahren angespannt.,Das Verhältnis zwischen Obama und Netanyahu ist seit Jahren gespannt.
Washington criticises the continuous building of settlements in Israel and accuses Netanyahu of a lack of initiative in the peace process.,"Washington kritisiert den kontinuierlichen Bau von Siedlungen in Israel und beschuldigt Netanjahu, im Friedensprozess keine Initiative zu ergreifen.",Washington kritisiert den andauernden Siedlungsbau Israels und wirft Netanyahu mangelnden Willen beim Friedensprozess vor.
"The relationship between the two has further deteriorated because of the deal that Obama negotiated on Iran's atomic programme, .","Die Beziehungen zwischen den beiden haben sich aufgrund des Abkommens, das Obama über das Atomprogramm des Iran ausgehandelt hat, weiter verschlechtert.",Durch den von Obama beworbenen Deal um das iranische Atomprogramm hat sich die Beziehung der beiden weiter verschlechtert.
"In March, at the invitation of the Republicans, Netanyahu made a controversial speech to the US Congress, which was partly seen as an affront to Obama.","Im März hielt Netanjahu auf Einladung der Republikaner eine kontroverse Rede vor dem US-Kongress ab, die teilweise als Affront gegen Obama angesehen wurde.","Im März hatte Netanyahu auf Einladung der Republikaner vor dem US-Kongress eine umstrittene Rede gehalten, die teils als Affront gegen Obama gewertet wurde."
"The speech had not been agreed with Obama, who had rejected a meeting with reference to the election that was at that time impending in Israel.","Die Rede war nicht mit Obama vereinbart worden, der ein Treffen mit Bezug auf die damals in Israel bevorstehenden Wahlen abgelehnt hatte.","Die Rede war mit Obama nicht abgesprochen, ein Treffen hatte dieser mit Hinweis auf die seinerzeit bevorstehende Wahl in Israel abgelehnt."
"In 911 Call, Professor Admits to Shooting Girlfriend","In 911-Anruf erteilt Professor den Versuch, einen Freund zu schießen","In einem Notruf gesteht Professor, seine Freundin erschossen zu haben"
"In a 911 call, his voice only slightly shaky, college professor Shannon Lamb told police he had shot his girlfriend and officers needed to get over to their house.","In einem 911-Anruf, seine Stimme nur geringfügig schwach, sagte der Kollegiumsprofessor Shannon Lamb der Polizei, er habe seine Freundin erschossen und die Offiziere brauchten, um zu ihrem Haus zu kommen.","In einem Notruf erzählte Professor Shannon Lamb mit einer etwas zittrigen Stimme der Polizei, dass er seine Freundin erschossen habe und dass die Beamten zu seinem Haus kommen müssten."
"Lamb made a point to say his ""sweet dog"" was there alive and probably upset, and said the dead woman's family contacts could be found on her phone.","Lamm machte einen Sinn zu sagen, sein ""süßer Hund"" war dort lebendig und wahrscheinlich erschüttert, und sagte, die Familienkontakte der toten Frau könnten auf ihrem Telefon gefunden werden.","Lamb war es wichtig zu betonen, dass sein ""süßer Hund"" aber noch lebe und wahrscheinlich aufgeregt sei, und er sagte, die Familienkontakte der toten Frau könnten auf dem Handy gefunden werden."
"Inside the home, officers found Amy Prentiss' body and a hand-written note scribbled on a white legal pad: ""I am so very sorry I wish I could take it back I loved Amy and she is the only woman who ever loved me,"" read the letter authorities say was signed by Lamb.","Im Inneren des Hauses entdeckten die Offiziere Amy Prentiss' Körper und ein handgeschriebenes Notiz auf einem weißen Rechtspad: ""Ich bin so sehr bedauerlich, ich wünschte, ich könnte es wieder nehmen Ich liebte Amy und sie ist die einzige Frau, die mich jemals geliebt hat"", lese das Schreiben, das die Behörden sagen, wurde von Lamb unterzeichnet.","Innerhalb des Hauses fanden die Beamten die Leiche von Amy Prentiss und eine handgeschriebene Notiz, die auf einen weißen Block gekritzelt war: ""Mir tut es so leid, ich wollte, ich könnte es rückgängig machen, ich liebte Amy und sie ist die einzige Frau, die mich jemals liebte"". Dies stand nach Angaben der Behörden in dem Brief, und er war von Lamb unterzeichnet."
"There was no indication that Lamb, who was teaching two online classes for Delta State University in Cleveland, Mississippi, had already traveled 300 miles to the school's campus, where police believe he shot and killed a well-liked history professor, Ethan Schmidt, in the doorway to his office.","Es gab keine Anzeichen dafür, dass Lamb, der zwei Online-Kurse für die Delta State University in Cleveland, Mississippi, erteilt hatte, bereits 300 Meilen auf den Campus der Schule reiste, wo die Polizei glaube, er habe einen wohlverstandenen Geschichtsprofessor, Ethan Schmidt, in der Tür zu seinem Büro erschossen und getötet.","Es gab keinen Hinweis darauf, dass Lamb, der in zwei Online-Kursen für die Delta State University in Cleveland, Mississippi, unterrichtete, bereits 300 Meilen zu dem Schulgelände gereist war, wo er nach Angaben der Polizei einen beliebten Geschichtsprofessor, Ethan Schmidt, an der Tür zu seinem Büro erschossen und getötet hat."
Delta State University police chief Lynn Buford said university officials heard about the shooting at 10:18 a.m.,"Die Polizeichefin der Delta State University, Lynn Buford, sagte, dass die Universitätsbeamten von der Ermordung um 10:18 Uhr hörten.","Delta State University Polizeichef Lynn Buford sagte, dass Universitäts-Mitarbeiter das Schießen um 10:18 Uhr gehört haben."
He said Lamb made the fateful 911 call sometime after that.,"Er sagte, Lamb machte den schicksalhaften 911-Anruf irgendwann danach.","Er sagte, dass Lamb den verhängnisvollen Notruf irgendwann danach gemacht hat."
"By the end of the day, there would be one more death: Lamb took his own life as police closed in on him.","Am Ende des Tages würde es noch einen Tod geben: Lamm nahm sein eigenes Leben, als die Polizei ihn schloss.","Bis zum Ende des Tages gab es einen weiteren Tod: Lamm nahm sich das Leben, als die Polizei ihn einkesselte."
"A day after the school shooting forced students and faculty to hide behind locked doors, authorities were still trying to piece together what motivated Lamb.","Ein Tag nach dem Schulschießen zwangen Studenten und Fakultäten, sich hinter verschlossenen Türen zu verstecken, versuchten die Behörden noch immer, das zusammenzufassen, was Lamb motivierte.","Einen Tag nach der Schießerei in der Universität, die Studenten und Dozenten dazu zwang, sich hinter verschlossenen Türen zu verstecken, versuchen die Behörden immer noch, sich ein Bild davon zu verschaffen, was Lamb motivierte."
The details released by investigators at both ends of the state as well as students and staff who knew him helped paint a picture of a talented but possibly troubled teacher.,"Die Details, die von Ermittlern an beiden Enden des Staates sowie Studenten und Mitarbeitern veröffentlicht wurden, die ihn kannten, trugen dazu bei, ein Bild eines talentierten, aber möglicherweise unangenehmen Lehrers zu zeichnen.","Die von den Ermittlern an beiden Enden des Staates veröffentlichten Details, wie auch das, was Studenten und Mitarbeiter, die ihn kannten, aussagten, half dabei, ein Bild von einem talentierten, aber möglicherweise schwierigen Lehrer zu zeichnen."
Students said they looked forward to his class.,"Die Studenten sagten, dass sie sich auf seine Klasse freuen würden.","Studenten sagten, dass sie sich auf seinen Unterricht freuten."
"Police in Gautier, where Prentiss died, said he had no history of violence or criminal record.","Die Polizei in Gautier, wo Prentiss starb, sagte, er habe keine Geschichte von Gewalt oder Strafregister.","Die Polizei in Gautier, wo Prentiss starb, sagte, er habe keine Geschichte der Gewalt oder eine kriminelle Vorgeschichte."
"Schmidt himself had included Lamb in a book he wrote where he acknowledged the ""wonderful people"" he shared his academic life with.","Schmidt selbst hatte Lamb in ein von ihm geschriebenes Buch aufgenommen, in dem er die ""ehrwürdigen Menschen"" anerkennte, mit denen er sein akademisches Leben teilnahm.","Schmidt selbst hatte Lamb in einem von ihm geschriebenen Buch erwähnt, in dem er die ""wunderbaren Menschen"" erwähnte, mit denen er sein akademisches Leben teilte."
"Both taught in the Division of Social Sciences and History, which lists 17 faculty members, and many students took courses from both.","Beide lehrten in der Division der Sozialwissenschaften und Geschichte, die 17 Fakultätsmitglieder auflistet, und viele Studenten nahmen Kurse von beiden.","Beide unterrichteten in der Abteilung für Sozialwissenschaften und Geschichte, deren Lehrkörper 17 Mitglieder umfasst, und viele Studenten besuchten Kurse von beiden."
"At the same time, there were some inclinations of problems.",Gleichzeitig gab es einige Neigungen zu Problemen.,Zur gleichen Zeit gab es einige Neigungen zu problematischen Verhaltensweisen.
"A student who praised Lamb, Brandon Beavers, said he also seemed agitated and jittery, ""like there was something wrong with him.""","Ein Student, der Lamb lobte, Brandon Beavers, sagte, er schien auch agitiert und jitterisch zu sein, ""wie es mit ihm etwas falsch war"".","Ein Student, Brandon Beavers, der Lamb lobte, sagte, er schien auch ein wenig aufgeregt und nervös, ""als ob etwas mit ihm falsch sei."""
"Another student, Mikel Sykes, said Lamb told him he was dealing with stress at the end of the 2014-15 academic year.","Ein anderer Student, Mikel Sykes, sagte Lamb, dass er sich Ende des akademischen Jahres 2014-15 mit Stress befasste.","Ein anderer Student, Mikel Sykes, sagte, dass Lamm ihm erzählt habe, dass er am Ende des akademischen Jahres 2014-15 mit Stress zu tun hatte."
"Lamb had earlier asked Delta State University for a medical leave of absence, saying he had a health issue of some sort.","Lamb hatte früher die Delta State University um einen medizinischen Abwesenheitsurlaub gebeten und sagte, dass er eine gesundheitliche Frage hatte.","Lamb hatte zuvor die Delta State University um eine Beurlaubung aus gesundheitlichen Gründen gebeten und dabei gesagt, dass er irgendein gesundheitliches Problem habe."
"This year, he was only teaching two online classes.",In diesem Jahr unterrichte er nur zwei Online-Kurse.,In diesem Jahr unterrichtete er nur zwei Online-Kurse.
Recent changes in the university's hiring policies meant that the doctorate Lamb had worked so hard to earn would not guarantee him an automatic tenure track to become an assistant professor.,"Die jüngsten nderungen in den Einstellungspolitiken der Universität bedeuteten, dass der Doktorat Lamb so hart gearbeitet hatte, um zu verdienen, würde ihm nicht garantieren, eine automatische Laufbahn zu werden, um ein Assistent Professor zu werden.","Neueste Änderungen in der Beschäftigungspolitik der Universität bedeuteten, dass die Promotion, für die Lamb so hart gearbeitet hatte, für ihn keine Garantie für einen automatischen Weg zu einer Anstellung als Assistant-Professor darstellen würde."
"University President William LaForge said he didn't know of any conflict between Lamb and Schmidt but ""obviously there was something in Mr. Lamb's mind.""","Der Universitätspräsident William LaForge sagte, dass er keinen Konflikt zwischen Lamb und Schmidt wußte, aber ""es gab offensichtlich etwas in der Meinung von Herrn Lamb"".","Universitäts-Präsident William LaForge sagte, er wisse nichts von einem Konflikt zwischen Lamb und Schmidt, aber ""natürlich gab es etwas in Mr Lambs Vorstellung."""
Those are questions Lamb can no longer answer.,"Das sind Fragen, die Lamb nicht mehr beantworten kann.","Das sind Fragen, die Lamb nicht mehr beantworten kann."
"After fleeing the campus, police later picked up Lamb's trail when he crossed back into Mississippi from Arkansas.","Nachdem er aus dem Campus flüchtete, holte die Polizei den Spuren von Lamb ab, als er von Arkansas zurück nach Mississippi überquerte.","Nach der Flucht aus dem Campus fand die Polizei später Lambs Spur, als er wieder in Mississippi aus Arkansas einfuhr."
"Before he could be apprehended, Lamb killed himself with a single .38-caliber pistol in the backyard of a home about a mile south of his parents' home on the outskirts of Greenville, Mississippi, said Washington County Coroner Methel Johnson.","In den letzten Jahren gab es in den letzten Jahren eine ganze Reihe von nderungsanträgen, die in den letzten Jahren in den USA und in den USA ergriffen wurden.","Bevor er festgenommen werden konnte, tötete Lamb sich selbstmit einer .38 Kaliber Pistole im Hinterhof eines Hauses etwa eine Meile südlich seines Elternhauses am Stadtrand von Greenville, Mississippi, sagte Washington County Coroner Methel Johnson."
His car was still running in the driveway.,Sein Auto läuft noch in der Einfahrt.,Sein Auto lief noch in der Einfahrt.
"It was not immediately clear why Lamb went to that home, though Johnson said she believes he knew the people who lived there.","Es war nicht sofort klar, warum Lamb in dieses Haus ging, obwohl Johnson sagte, sie glaubte, er kannte die Menschen, die dort lebten.","Es war nicht sofort klar, warum Lamm zu diesem Haus ging, aber Johnson sagte, dass sie glaubt, dass er die Leute kannte, die dort lebten."
Lamb grew up in the area.,Lamm wuchs in der Gegend auf.,Lamb wuchs in der Gegend auf.
"Lamb started working at the university, which has 3,500 students in a city of about 12,000, in 2009 and taught geography and education classes.","Lamb begann 2009 an der Universität, die 3.500 Studenten in einer Stadt von etwa 12.000 hat, und lehrte Geographie und Bildungsunterricht.","Lamb begann 2009 seine Arbeit an der Universität, die 3.500 Studenten in einer Stadt mit etwa 12.000 Einwohnern hat und unterrichtete Geographie und Pädagogik."
He received a doctorate in education in the spring.,Im Frühjahr erhielt er einen Doktorat in der Ausbildung.,Er promovierte im Frühjahr in Pädagogik.
"One of Lamb's longtime friends described him as smart, charismatic and funny.","Einer der langjährigen Freunde von Lamb bezeichnete ihn als klug, charismatisch und lustig.","Einer der langjährigen Freundinnen Lambs bezeichnete ihn als intelligent, charismatisch und lustig."
